user_name,created at,favorite_count,text,id,in_reply_to,is_reply,lang,view_count,retweet_count
Winkeldiefstal1,Wed Aug 14 13:09:12 +0000 2024,0,@BartMos @Belastingdienst @ingnl Ook gezien hoeveel fouten er in staan?,1823708450628788401,1823387406168408178,True,nl,6,0
JerinTahapary,Wed Aug 14 09:07:09 +0000 2024,0,"@ingnl @elisalocuta Beste, ik heb het weer geprobeerd om de App te openen, en het werkt nu gelukkig wel!",1823647539540697450,1823646901712859366,True,nl,30,0
JerinTahapary,Wed Aug 14 08:28:01 +0000 2024,0,"@ingnl @elisalocuta Beste ING,  Ik kan mijn ING app helaas niet openen. Klopt ‘t dat er op het moment een storing is? @ingnl",1823637691994370215,1823602749977624719,True,nl,42,0
djidee,Wed Aug 14 06:30:37 +0000 2024,0,"@NLRebellion @ingnl De ludieke acties in het begin, gaf jullie nog aardig draagvlak en aandacht.  Nu het aan het doorslaan is, merk je dat de opinie kantelt. Rupsje nooitgenoeg, te stellig, en daarmee zichzelf aan het vervreemden en isoleren van het grote publiek. Ga je je doelen niet mee halen.",1823608144506818698,1823607673536823515,True,nl,26,0
djidee,Wed Aug 14 06:28:45 +0000 2024,0,"Waarom kiest @NLRebellion bijvoorbeeld herhaaldelijk voor A10 Zuid voor een blokkade richting @ingnl , terwijl het hoofdkantoor daar al jaren niet meer zit?  Het gaat niet om ING, maar gewoon zoveel mogelijk overlast creëren.  En het dan nu raar vinden dat men daar klaar mee is?",1823607673536823515,1823607036313018618,True,nl,38,0
elisalocuta,Tue Aug 13 19:27:14 +0000 2024,0,@ingnl Hartelijk bedankt!!! 😍,1823441198184587483,1823437528612946201,True,nl,42,0
elisalocuta,Tue Aug 13 18:55:22 +0000 2024,0,@ingnl Kan ik mijn bankrekening opzeggen bij een servicepunt of alleen bij een kantoor? Welke documenten moet ik meenemen? We komen uit Duitsland en zijn een beetje hulpeloos.,1823433181564912078,,False,nl,144,0
sneuperdokkum,Tue Aug 13 16:40:55 +0000 2024,1,@BartMos @Belastingdienst @ingnl Finom is Hongaars voor lekker,1823399346131665191,1823387406168408178,True,nl,66,0
FloorDrost,Tue Aug 13 16:05:49 +0000 2024,0,@BartMos @Belastingdienst @ingnl Leeft hij nog?,1823390510771302620,1823387406168408178,True,nl,69,0
van_Hooijdonk,Tue Aug 13 16:02:15 +0000 2024,2,@BartMos @Belastingdienst @ingnl Soms moet je gewoon verlies nemen.,1823389613248897270,1823387406168408178,True,nl,79,0
BartMos,Tue Aug 13 15:53:29 +0000 2024,7,"En ja hoor, meneer Roet gaat gewoon door met rondsturen van bedelbrieven namens Loterijverlies. Nu wil hij geld voor de ‘schikkig’ die hij is overeengekomen met de @Belastingdienst. Bij @ingnl is hij niet meer welkom, vandaar dat het geld nu overgemaakt moet worden naar ‘Finom’. https://t.co/D7XRuyAtxc",1823387406168408178,,False,nl,1338,0
CryptoVertex,Tue Aug 13 14:07:16 +0000 2024,0,"@geldmaat @ingnl @ABNAMRO @SNSBank @Rabobank Kijk het maar goed na, want het begint echt verschrikkelijk te worden. Succes! https://t.co/rXRATKA4P7",1823360677177598028,1822962438049763600,True,nl,33,0
CryptoVertex,Tue Aug 13 14:06:06 +0000 2024,0,"@ABNAMRO @geldmaat @ingnl @SNSBank @Rabobank Gisteren deed ie het nog niet. Naja, succes! Hopelijk gaat het bij Geldmaat in de toekomst beter.",1823360384876630339,1822960243262795864,True,nl,14,0
DNB_NL,Tue Aug 13 08:54:11 +0000 2024,0,"@AstridWede @parool @ingnl DNB kan geen uitspraken doen over onder toezicht staande instellingen, maar in zijn algemeenheid ziet DNB zowel voordelen als risico’s in samenwerking tussen banken en BigTechs. Een meer uitgebreide visie van DNB op de kansen en uitdagingen vindt u hier: https://t.co/eWdotyqBPP",1823281887378395514,1822150714040131718,True,nl,8,0
BeneluxShab,Tue Aug 13 08:33:14 +0000 2024,0,@ingnl Geld overgeboekt van de abn wordt op het moment niet bijgeschreven.,1823276616539119645,1812775725357044079,True,nl,66,0
rotterdamboy35,Tue Aug 13 07:56:30 +0000 2024,0,@ingnl Okee,1823267372137845199,1823266996282139091,True,en,30,0
rotterdamboy35,Tue Aug 13 07:49:56 +0000 2024,0,@ingnl Oke en wnr word het bedrag dan op me ing rekening gezet ?,1823265718911037922,1823263582684848147,True,nl,89,0
BOomer38991049,Tue Aug 13 07:09:41 +0000 2024,0,"@ingnl Hallo, jullie mailserver van de schade reisverzekering melden ligt er al sinds gisteren uit. Wordt daar nog wat aan gedaan of is fit de nieuwe manier van bezuinigen? Niks ontvangen dis niks uitkeren?",1823255588513394891,,False,nl,58,0
vfweiss,Tue Aug 13 06:54:29 +0000 2024,0,Beste @ingnl wanneer gaan overschrijvingen van andere banken eens binnen komen? ABN heeft zelfs door dat jullie een storing hebben en geeft een melding bij een overboeking nu. Maar volgens jullie site is er niets aan de hand...,1823251762783961535,,False,nl,76,0
rotterdamboy35,Tue Aug 13 06:46:47 +0000 2024,0,@ingnl ik heb net van abn naar me ing geld overgemaakt en hij hoort er allang op te staan wat is er aan de aan de hand en wnr komt het op de ing rekening?,1823249827649503698,,False,nl,95,0
tbrugman,Tue Aug 13 06:18:04 +0000 2024,0,@ingnl En hoe krijg ik het weg zonder die gegevens in te voegen?,1823242599676669992,1823241359936856119,True,nl,76,0
WillemijnvZ,Mon Aug 12 23:33:43 +0000 2024,1,"Hahaha @ingnl wederom een storing?! Misschien kunnen jullie je naam beter veranderen in ""Storingsbank"". Geld overmaken van een andere bank naar jullie lukt niet...",1823140841050833362,,False,nl,15,0
FuenteAlam,Mon Aug 12 22:40:59 +0000 2024,0,Als #googlepay niet werkt wat dan? #privacy #cybersecurity #google @ingnl @2eKamertweets @2525 @d66 #volkskrant @tomjanmeeus  https://t.co/ttVYJ7XrVD,1823127571464134906,,False,nl,60,0
BreelDylan,Mon Aug 12 21:25:24 +0000 2024,2,Ik kan niet begrijpen dat als je een storing hebt als grote bank dat je niet eens ergens laat weten dat je een storing hebt..Andere banken en zelfs apps die niet van ING zijn kunnen dit wel zeggen over ING waarom @ingnl zelf niet? https://t.co/MqlORFdc0O,1823108547401466091,,False,nl,145,0
W_0_0_F_Y,Mon Aug 12 20:48:37 +0000 2024,0,"@ingnl Nou ja dit was een van die dingen wat zichzelf oploste na een uurtje ongeveer. Maar het was wel redelijk duidelijk aan de kant van ing, wellicht Een onderhoud cyclus op een zondag Waar ik toevallig in kwam als t ware.",1823099290639540602,1822890761471369489,True,nl,14,0
tbrugman,Mon Aug 12 20:17:57 +0000 2024,0,Zeg @ingnl hoe krijg ik deze zeurmelding weg? https://t.co/jw99wNZHjJ,1823091574340759743,,False,nl,121,0
LuckyAmsterdam,Mon Aug 12 17:52:13 +0000 2024,1,@ingnl Inmiddels met iemand gechat die wel van ING was. Die eerdere was dat duidelijk niet. Is nu gelukkig allemaal wel opgelost.,1823054899778883951,1823014940040417759,True,nl,112,0
Nicky1751983,Mon Aug 12 17:34:53 +0000 2024,1,"@jkmkkijjhhhhg @ingnl @MarinaVreugde @LucasHartong @wierdduk Ja zit hier ook al ruim 1 uur te wachten, in de app van tikkie staat als de ing storing heeft, kan het tot 3 werkdagen duren",1823050539292041332,1823044299283394682,True,nl,116,0
Tweelingetje2V,Mon Aug 12 15:43:31 +0000 2024,0,@LucasHartong @ingnl Geen storing.,1823022513451852173,1823010813310849317,True,nl,16,0
dwarsbalk9A,Mon Aug 12 15:39:46 +0000 2024,0,"@LucasHartong @ingnl @wierdduk Als je gaat bellen, zeggen ze dat er niets aan de hand is.",1823021567032332796,1823011476963017079,True,nl,10,0
BertKassing,Mon Aug 12 15:23:56 +0000 2024,0,@LucasHartong @ingnl @wierdduk In Hoofddorp werkt het nog gewoon. Zojuist 17.05 uur betaald in de supermarkt. Geen probleem.,1823017584788172975,1823012955899777262,True,nl,29,0
NielsAhob2,Mon Aug 12 15:18:28 +0000 2024,1,@ingnl @MarinaVreugde @LucasHartong @wierdduk Kijk eens op Alle Storingen. https://t.co/yFlAhufrS0,1823016209257800058,1823016068786409646,True,nl,32,0
NielsAhob2,Mon Aug 12 15:17:59 +0000 2024,0,@LucasHartong @ingnl @wierdduk Bij AlleStoringen nu een ontzettende piek: https://t.co/3r88W4eVG7,1823016086024982736,1823012955899777262,True,nl,26,0
MarinaVreugde,Mon Aug 12 15:13:07 +0000 2024,1,@LucasHartong @ingnl @wierdduk Even uitgeprobeerd maar bij mij geen (nog) problemen. Woon vlakbij Rotterdam,1823014859627282508,1823012955899777262,True,nl,171,0
PatriciaSt1948,Mon Aug 12 15:07:35 +0000 2024,1,"@LucasHartong @ingnl @wierdduk Volgende maand met 4 rekeningen naar de @knab_nl , ik zit daar al zakelijk, maar als de donder weg bij de @ingnl",1823013468884074827,1823012955899777262,True,nl,25,0
LucasHartong,Mon Aug 12 14:49:17 +0000 2024,1,"@PeteB1612 @ingnl Zeg dat! Kan nu al urenlang niet inloggen en betalen... ""Niet uw fout, wordt aan gewerkt..."" Jaja.",1823008863630545115,1823005061284299093,True,nl,27,0
PeteB1612,Mon Aug 12 14:34:11 +0000 2024,1,@LucasHartong @ingnl Komt regelmatig voor dat de ING site niet of slecht werkt. Enorm irritant en tijdrovend.,1823005061284299093,1822997741091291532,True,nl,29,0
LucasHartong,Mon Aug 12 14:05:05 +0000 2024,3,"Sjong jonge, al ruim uur lang storing bij @ingnl online bankieren en betalen.",1822997741091291532,,False,nl,397,0
LuckyAmsterdam,Mon Aug 12 13:31:34 +0000 2024,1,Hi @ingnl jullie chat wordt bemand door een extern bedrijf die nergens iets over kunnen beslissen. Hoe kom ik in contact met iemand bij ING die dat wel kan?,1822989305813340384,,False,nl,166,0
